Trial Phase,Trial Number,Time,Position X,Position Y,Position Z
21,1,13.37288,0.5645736,-0.7211897,-0.1530606
21,1,13.48369,0.3404347,-0.812622,0.07675543
21,1,13.5837,0.2500317,-0.8125195,0.1589552
21,1,13.69539,0.2500308,-0.7068227,0.1665305
21,1,13.80605,0.1405259,-0.7912689,0.2560165
21,1,13.91692,-0.090893,-0.6929978,0.4389296
21,1,14.01698,-0.2338006,-0.6924416,0.5067818
21,1,14.12812,-0.3099693,-0.7726223,0.5328872
21,1,14.22842,-0.3099693,-0.7698535,0.530398
21,1,14.33918,-0.3099714,-0.6726041,0.5345171
21,1,14.43923,-0.3080619,-0.6721327,0.5323977
21,1,14.53932,-0.2977986,-0.6713508,0.5312515
21,1,14.65037,-0.2962141,-0.7522454,0.5303271
21,1,14.76128,-0.2969638,-0.834447,0.5259548
21,1,14.8613,-0.2980318,-0.8341884,0.5197266
21,1,14.96141,-0.3006909,-0.8332122,0.5144258
21,1,15.07262,-0.2992042,-0.7318705,0.5128897
21,1,15.18357,-0.2992042,-0.8136617,0.5128897
21,1,15.28359,-0.2992042,-0.8135342,0.5128897
21,1,15.3947,-0.2992042,-0.7131299,0.5128897
21,1,15.50586,-0.2992042,-0.7930391,0.5128897
21,1,15.61689,-0.2992042,-0.6932794,0.5128897
21,1,15.72805,-0.2994175,-0.7731976,0.5116457
21,1,15.83912,-0.299736,-0.673134,0.5097886
21,1,15.95022,-0.299736,-0.7535766,0.5097886
21,1,16.05024,-0.3016516,-0.7533767,0.5088372
21,1,16.15029,-0.3017569,-0.7529818,0.5082244
21,1,16.26144,-0.3017569,-0.8329552,0.5082244
21,1,16.37236,-0.3017569,-0.7342375,0.5082244
21,1,16.48354,-0.3017569,-0.8139398,0.5082244
21,1,16.59457,-0.3018622,-0.7143146,0.5076121
21,1,16.69461,-0.3018622,-0.7138925,0.5076121
21,1,16.79473,-0.3003725,-0.712824,0.5060763
21,1,16.89482,-0.3004774,-0.7119843,0.5054645
21,1,16.995,-0.297282,-0.7103672,0.5036382
21,1,17.10569,-0.2955774,-0.7945086,0.5033478
21,1,17.20569,-0.2887581,-0.7945058,0.5021928
21,1,17.30596,-0.2847252,-0.7920861,0.5053327
21,1,17.41692,-0.2848639,-0.6930548,0.5149286
21,1,17.52804,-0.2923082,-0.7732849,0.5327873
21,1,17.63893,-0.2906156,-0.6748944,0.5324988
21,1,17.73905,-0.2906156,-0.6738206,0.5324988
21,1,17.85024,-0.2891344,-0.7533836,0.5309662
21,1,17.9612,-0.2891344,-0.8351089,0.5309662
21,1,18.07227,-0.2891344,-0.735076,0.5309662
21,1,18.17241,-0.2891344,-0.7338096,0.5309662
21,1,18.28344,-0.2874411,-0.8148705,0.530679
21,1,18.38348,-0.2840541,-0.814498,0.5301068
21,1,18.48355,-0.2822551,-0.8138562,0.530449
21,1,18.59452,-0.2821495,-0.714682,0.5310768
21,1,18.7056,-0.2802455,-0.7953579,0.5320495
21,1,18.8057,-0.2785527,-0.7944802,0.5317661
21,1,18.91669,-0.2785527,-0.695119,0.5317661
21,1,19.01671,-0.280351,-0.6949399,0.5314208
21,1,19.12766,-0.2805597,-0.7766832,0.5301756
21,1,19.22955,-0.2806651,-0.7596564,0.5295473
21,1,19.33882,-0.2806651,-0.6758612,0.5295473
21,1,19.43885,-0.2808755,-0.675609,0.5282922
21,1,19.55007,-0.2808755,-0.7549497,0.5282922
21,1,19.661,-0.2809807,-0.8368983,0.5276654
21,1,19.76109,-0.2810856,-0.8361027,0.5270391
21,1,19.87219,-0.2800172,-0.735759,0.5230095
21,1,19.98339,-0.2786325,-0.8153636,0.5208572
21,1,20.09436,-0.2172558,-0.7161877,0.5238616
21,1,20.19437,-0.02997574,-0.716103,0.5484564
21,1,20.30557,0.0024845,-0.7829558,0.6272008
21,1,20.40566,0.03563088,-0.7693927,0.6307505
21,1,20.51654,0.07462665,-0.6787751,0.6627225
21,1,20.61657,0.2183428,-0.6726218,0.7351239
21,1,20.72806,0.6506928,-0.7256857,0.7514075
21,1,20.83877,0.724137,-0.6588957,0.7394374
21,1,20.93878,0.6726744,-0.6588265,0.7355939
21,1,21.04985,0.4180501,-0.7145403,0.7333115
21,1,21.16097,0.02557892,-0.8104683,0.7600992
21,1,21.26102,-0.07133293,-0.8367126,0.7666964
21,1,21.36105,-0.06392655,-0.8365237,0.7609889
21,1,21.47218,-0.05608907,-0.7358997,0.7587146
21,1,21.57256,-0.02997336,-0.7324829,0.7526166
21,1,21.68312,-0.02997643,-0.817733,0.7419845
21,1,21.78317,-0.02997985,-0.817297,0.6961797
21,1,21.88322,-0.01620021,-0.8108761,0.5623755
21,1,21.9943,0.01403335,-0.7166934,0.3231635
21,1,22.09435,0.01271451,-0.7144768,0.1717312
21,1,22.19605,-0.01376581,-0.6979005,0.1632807
21,1,22.30552,0.06723967,-0.7960808,0.1799785
21,1,22.41755,0.03371787,-0.6730105,0.08383638
21,1,22.52762,-0.4480228,-0.7284109,-0.2580211
21,1,22.63883,-0.7998183,-0.6584639,-0.5601084
21,1,22.7391,-0.956961,-0.6568017,-0.8073338
21,1,22.84004,-0.9456412,-0.7756946,-0.8678809
21,1,22.94971,-0.645792,-0.7154194,-0.9283157
21,1,23.04973,-0.3100077,-0.758,-0.9399644
21,1,23.14994,-0.03584009,-0.7560773,-0.928278
21,1,23.26075,-0.02997488,-0.8392351,-0.9166014
21,1,23.36079,-0.02997535,-0.8388264,-0.9119583
21,1,23.46087,-0.02997565,-0.8381271,-0.9150622
21,1,23.56149,-0.02997985,-0.8324805,-0.9104295
21,1,23.67183,0.003676564,-0.7302003,-0.8966919
21,1,23.77192,0.05179793,-0.716826,-0.8995455
21,1,23.87299,0.23443,-0.7247816,-0.9199129
21,1,23.98313,0.6547706,-0.8176699,-0.9400311
21,1,24.09414,0.9096444,-0.7181234,-0.9358823
21,1,24.20521,1.270238,-0.7988849,-0.8856931
21,1,24.30524,1.490645,-0.7985641,-0.8134165
21,1,24.41643,1.651995,-0.6971196,-0.7100971
21,1,24.5275,1.650026,-0.7781664,-0.4706141
21,1,24.63845,1.650025,-0.6791696,-0.1664737
21,1,24.7386,1.652091,-0.6733518,-0.06668901
21,1,24.84994,1.726682,-0.7139608,0.2742079
21,1,24.96078,1.818655,-0.9099761,0.6215539
21,1,25.07207,1.938666,-0.9099755,0.7862208
21,1,25.18306,1.896155,-0.9099755,0.9136499
21,1,25.29428,1.921623,-0.9099759,1.146108
21,1,25.40515,1.835346,-0.9099759,1.36067
21,1,25.50518,1.835579,-0.9099764,1.415382
21,1,25.60519,1.835717,-0.9099752,1.364427
21,1,25.7052,1.83576,-0.9099752,1.268055
21,1,25.80635,1.845881,-0.9099753,1.166053
21,1,25.91624,1.932912,-0.9099752,1.090862
