Participant ID,Trial Number,Sample Number,Sample Order,Sample Time,Comparison Time,Condition,Path,Foil
2,49,6,left,10000,20000,VH,"[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (3, 3)]","[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4)]"
2,50,46,right,10000,20000,VH,"[(0, 4), (0, 3), (1, 3), (1, 2), (0, 2), (0, 1), (0, 0)]","[(0, 4), (0, 3), (1, 3), (1, 2), (1, 1), (0, 1), (0, 0)]"
2,51,42,left,10000,20000,VH,"[(1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (4, 2), (4, 3)]","[(1, 4), (2, 4), (3, 4), (3, 3), (3, 2), (4, 2), (4, 3)]"
2,52,52,left,10000,20000,VH,"[(3, 0), (2, 0), (2, 1), (1, 1), (1, 2), (0, 2), (0, 3)]","[(3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 3)]"
2,53,2,right,10000,20000,VH,"[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1)]","[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (2, 2)]"
2,54,20,right,10000,20000,VH,"[(2, 2), (1, 2), (1, 1), (0, 1), (0, 0), (1, 0), (2, 0)]","[(2, 2), (2, 1), (1, 1), (0, 1), (0, 0), (1, 0), (2, 0)]"
2,55,21,left,10000,20000,VH,"[(1, 3), (2, 3), (2, 2), (1, 2), (1, 1), (0, 1), (0, 0)]","[(1, 3), (2, 3), (2, 2), (2, 1), (1, 1), (0, 1), (0, 0)]"
2,56,17,right,10000,20000,H,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (0, 2)]","[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (1, 2), (0, 2)]"
2,57,33,left,10000,20000,H,"[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (2, 2)]","[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (3, 3)]"
2,58,12,left,10000,20000,H,"[(0, 1), (0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2)]","[(0, 1), (0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (3, 2)]"
2,59,41,right,10000,20000,H,"[(2, 4), (1, 4), (1, 3), (2, 3), (2, 2), (3, 2), (3, 1)]","[(2, 4), (1, 4), (1, 3), (1, 2), (2, 2), (3, 2), (3, 1)]"
2,60,13,left,10000,20000,H,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (2, 2)]"
3,1,48,left,10000,20000,H,"[(2, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (0, 2)]","[(2, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (1, 3)]"
3,2,33,right,10000,20000,H,"[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (2, 2)]","[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (3, 3)]"
3,3,39,left,10000,20000,H,"[(2, 2), (3, 2), (3, 3), (2, 3), (2, 4), (1, 4), (1, 3)]","[(2, 2), (3, 2), (3, 3), (3, 4), (2, 4), (1, 4), (1, 3)]"
3,4,12,left,10000,20000,H,"[(0, 1), (0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2)]","[(0, 1), (0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (3, 2)]"
3,5,32,left,10000,20000,H,"[(3, 4), (4, 4), (4, 3), (3, 3), (3, 2), (2, 2), (1, 2)]","[(3, 4), (4, 4), (4, 3), (4, 2), (3, 2), (2, 2), (1, 2)]"
